code,description,payer_types,common_resolutions
M1,X-ray not taken within the past 12 months,Medicare,Obtain current x-ray and resubmit
M2,Not paid separately when billed with another service,Medicare,Payment bundled; do not bill separately
M3,Equipment is the same or similar to equipment already being used,Medicare,Verify medical necessity of duplicate equipment
M4,Missing/incomplete/invalid prior authorization number,Commercial|Medicare,Obtain prior auth and resubmit with auth number
M5,Missing/incomplete/invalid days or units of service,Commercial|Medicare,Resubmit with correct units
M6,Missing/incomplete/invalid primary diagnosis code,Commercial|Medicare,Resubmit with valid ICD-10 code
M7,Missing/incomplete/invalid POA indicator,Medicare,Add present-on-admission indicator and resubmit
M8,Missing/incomplete/invalid HCPCS/rates,Commercial|Medicare,Resubmit with valid HCPCS code
M9,Missing/incomplete/invalid tooth number/letter,Commercial,Resubmit with correct tooth identifier
M10,Missing/incomplete/invalid tooth surface,Commercial,Resubmit with tooth surface codes
M11,Missing/incomplete/invalid FDA approval number,Commercial,Resubmit with FDA number
M12,Missing/incomplete/invalid provider taxonomy,Commercial|Medicare,Resubmit with correct taxonomy code
M13,Missing/incomplete/invalid place of service,Commercial|Medicare,Resubmit with correct POS code
M14,Missing/incomplete/invalid service facility name/address,Commercial,Resubmit with facility info
M15,Missing/incomplete/invalid service facility NPI,Commercial|Medicare,Resubmit with facility NPI
M16,Missing/incomplete/invalid referring provider info,Commercial|Medicare,Add referring provider NPI and resubmit
M17,Missing/incomplete/invalid ordering provider info,Commercial|Medicare,Add ordering provider NPI and resubmit
M18,Missing/incomplete/invalid claim note,Commercial|Medicare,Resubmit with required narrative
M19,Missing/incomplete/invalid anesthesia time,Medicare,Resubmit with anesthesia start/end times
M20,Missing/incomplete/invalid HICN,Medicare,Resubmit with correct Medicare ID
M21,Missing/incomplete/invalid UPIN,Medicare,Resubmit with ordering provider NPI
M22,Missing/incomplete/invalid number of submitted documents,Commercial,Resubmit with all required documentation
M23,Missing/incomplete/invalid service date,Commercial|Medicare,Resubmit with correct date of service
M24,Missing/incomplete/invalid place of service,Commercial|Medicare,Resubmit with correct POS
M25,Missing/incomplete/invalid provider identifier,Commercial|Medicare,Resubmit with valid NPI
M26,Missing/incomplete/invalid place of service,Commercial|Medicare,Resubmit with correct POS
M27,Missing/incomplete/invalid national drug code,Commercial|Medicare,Resubmit with NDC
M28,Missing/incomplete/invalid anesthesia modifier,Medicare,Resubmit with AA/QK/QY/QZ modifier
M29,Missing/incomplete/invalid service line,Commercial|Medicare,Resubmit with corrected line item
M30,Missing/incomplete/invalid provider address,Commercial|Medicare,Update provider file and resubmit
M31,Missing/incomplete/invalid referring provider name,Commercial|Medicare,Add referring provider name and resubmit
M32,Missing/incomplete/invalid ordering provider NPI,Commercial|Medicare,Add NPI and resubmit
M33,Missing/incomplete/invalid referring provider NPI,Commercial|Medicare,Add referring NPI and resubmit
M34,Missing/incomplete/invalid place of service,Commercial|Medicare,Resubmit with correct POS
M35,Missing/incomplete/invalid service date,Commercial|Medicare,Resubmit with correct date
M36,Missing/incomplete/invalid patient identifier,Commercial|Medicare,Resubmit with correct patient ID
M37,Missing/incomplete/invalid tooth number,Commercial,Resubmit with tooth number
M38,Missing/incomplete/invalid tooth surface,Commercial,Resubmit with tooth surface
M39,Missing/incomplete/invalid number of units,Commercial|Medicare,Resubmit with correct units
M40,Missing/incomplete/invalid claim,Commercial|Medicare,Resubmit with corrected claim
M41,Missing/incomplete/invalid anesthesia time,Medicare,Resubmit with anesthesia times
M42,Missing/incomplete/invalid place of service,Commercial|Medicare,Resubmit with correct POS
M43,Missing/incomplete/invalid service date,Commercial|Medicare,Resubmit with correct date
M44,Missing/incomplete/invalid service place,Commercial|Medicare,Resubmit with correct place
M45,Missing/incomplete/invalid service units,Commercial|Medicare,Resubmit with correct units
M46,Missing/incomplete/invalid service line,Commercial|Medicare,Resubmit with corrected line
M47,Missing/incomplete/invalid service date,Commercial|Medicare,Resubmit with correct date
M48,Missing/incomplete/invalid NDC,Commercial|Medicare,Resubmit with NDC
M49,Missing/incomplete/invalid CLIA,Medicare,Add CLIA number and resubmit
M50,Missing/incomplete/invalid referring provider,Commercial|Medicare,Add referring provider info
M51,Missing/incomplete/invalid billing provider,Commercial|Medicare,Add billing provider info
M52,Missing/incomplete/invalid service facility,Commercial|Medicare,Add service facility info
M53,Missing/incomplete/invalid diagnosis code,Commercial|Medicare,Resubmit with valid ICD-10
M54,Missing/incomplete/invalid modifier,Commercial|Medicare,Resubmit with correct modifier
M55,Missing/incomplete/invalid tooth number/letter,Commercial,Resubmit with correct tooth ID
M56,Missing/incomplete/invalid service date,Commercial|Medicare,Resubmit with correct date
M57,Missing/incomplete/invalid procedure code,Commercial|Medicare,Resubmit with valid CPT/HCPCS
M58,Missing/incomplete/invalid service line,Commercial|Medicare,Resubmit with corrected line
M59,Missing/incomplete/invalid total charges,Commercial|Medicare,Resubmit with correct total
N1,Alert: provider not approved for this procedure,Medicare,Verify provider credentials for procedure
N2,Alert: this is the initial treatment,Commercial,Verify initial treatment indicator
